,course,num_students,avg_gpa,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F
779,CMN 361: Storytelling as Oral Communication,98,3.65,13.3,56.1,8.2,5.1,8.2,1.0,2.0,2.0,0.0,0.0,4.1,0.0,0.0
780,CMN 375: Imagining the Past and Future,97,3.73,9.3,39.2,32.0,11.3,6.2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
781,CMN 375: The American Family,297,3.79,33.0,39.7,11.8,4.4,6.7,1.3,2.0,1.0,0.0,0.0,0.0,0.0,0.0
782,CMN 396: Black Freedom Stuggle,56,2.6,3.6,28.6,10.7,7.1,7.1,0.0,0.0,7.1,14.3,0.0,3.6,7.1,10.7
783,CMN 396: CSR and Social Impact,58,3.28,0.0,31.0,20.7,13.8,20.7,1.7,3.4,1.7,0.0,0.0,3.4,0.0,3.4
784,CMN 396: Comm & Digital Culture,22,3.06,31.8,4.5,13.6,9.1,9.1,4.5,0.0,13.6,4.5,4.5,0.0,0.0,4.5
785,CMN 396: Comm & Public Opinion,70,3.11,11.4,20.0,20.0,5.7,11.4,8.6,5.7,8.6,0.0,0.0,2.9,2.9,2.9
786,CMN 396: Communication & Public Opinion,32,3.15,28.1,25.0,6.2,0.0,9.4,0.0,9.4,6.2,6.2,0.0,6.2,0.0,3.1
787,CMN 396: Digital Humanitarians,26,2.85,3.8,19.2,19.2,7.7,15.4,0.0,3.8,3.8,15.4,0.0,7.7,0.0,3.8
788,CMN 396: Media and Crime,84,3.35,7.1,23.8,21.4,13.1,15.5,6.0,9.5,0.0,1.2,1.2,1.2,0.0,0.0
789,CMN 396: Nonverbal Communication,32,3.45,0.0,21.9,31.2,25.0,15.6,0.0,0.0,6.2,0.0,0.0,0.0,0.0,0.0
790,CMN 396: Race & Digital Studies,25,3.23,36.0,20.0,4.0,8.0,8.0,8.0,0.0,0.0,4.0,4.0,0.0,0.0,8.0
791,CMN 396: Rhetoric of Theatre,23,2.46,4.3,17.4,8.7,4.3,17.4,8.7,4.3,4.3,8.7,0.0,4.3,0.0,17.4
792,CMN 396: Risk Communication,57,3.19,0.0,22.8,19.3,14.0,15.8,14.0,3.5,5.3,1.8,1.8,1.8,0.0,0.0
793,CMN 410: Workplace Comm Technology,126,3.43,0.8,39.7,18.3,8.7,15.1,7.9,4.0,3.2,1.6,0.0,0.0,0.8,0.0
794,CMN 412: Adv Organizational Comm,23,3.33,4.3,30.4,34.8,0.0,8.7,4.3,0.0,8.7,4.3,0.0,4.3,0.0,0.0
795,CMN 413: Adv Small Group Communication,28,3.83,17.9,42.9,32.1,3.6,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
796,CMN 421: Persuasion Theory & Research,31,3.53,12.9,35.5,16.1,19.4,9.7,0.0,0.0,3.2,0.0,0.0,0.0,0.0,3.2
797,CMN 424: Campaigning to Win,23,3.81,21.7,43.5,21.7,4.3,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
798,CMN 429: Race and the Mass Media,28,2.92,14.3,14.3,10.7,10.7,10.7,3.6,14.3,7.1,3.6,0.0,7.1,0.0,3.6
799,CMN 432: Gender Communication,270,3.71,53.0,24.1,4.1,5.6,4.1,2.2,1.9,3.0,0.4,0.0,0.4,0.4,1.1
800,CMN 437: Comm in Personal Relationships,29,3.38,20.7,37.9,6.9,6.9,6.9,3.4,6.9,0.0,0.0,6.9,0.0,0.0,3.4
801,CMN 450: How We Became Digital,21,2.68,9.5,33.3,4.8,4.8,4.8,4.8,0.0,14.3,0.0,0.0,4.8,4.8,14.3
802,CMN 463: Organizational Health Comm,31,3.34,6.5,45.2,9.7,3.2,6.5,12.9,0.0,12.9,0.0,0.0,0.0,3.2,0.0
803,CMN 496: Provider Patient Communication,24,3.71,20.8,29.2,25.0,16.7,4.2,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
804,CMN 595: Stigma in Healthcare,21,3.43,28.6,28.6,14.3,4.8,4.8,9.5,0.0,0.0,0.0,4.8,0.0,0.0,4.8
805,CPSC 102: Foundational Skills in Crop Sciences,181,3.76,0.0,81.2,5.5,2.2,3.9,2.8,0.0,1.1,0.6,0.0,1.7,0.0,1.1
806,"CPSC 113: Environment, Agric, & Society",160,3.68,51.2,23.8,5.0,5.0,8.1,0.6,1.2,0.6,0.6,0.6,0.6,0.6,1.9
807,"CPSC 113: Environment, Agriculture, and Society",231,3.39,2.6,57.6,0.0,0.0,22.5,8.7,0.0,3.5,0.4,0.0,0.0,0.0,4.8
808,CPSC 116: The Global Food Production Web,622,3.81,0.0,87.3,0.0,0.0,9.0,0.0,0.0,2.3,0.0,0.0,0.5,0.0,1.0
809,CPSC 117: Agriculture and Science of Coffee,90,3.32,7.8,40.0,11.1,4.4,17.8,0.0,5.6,4.4,3.3,1.1,2.2,1.1,1.1
810,CPSC 131: Agriculture in Mythology,263,3.35,0.0,73.8,0.0,0.0,8.4,0.0,0.0,6.1,0.0,0.0,2.7,0.0,9.1
811,CPSC 212: Introduction to Plant Protection,480,2.67,2.5,23.8,3.1,3.1,21.2,4.4,0.6,24.4,2.5,1.2,8.8,0.0,4.4
812,CPSC 241: Intro to Applied Statistics,96,3.12,18.8,10.4,16.7,14.6,16.7,8.3,2.1,2.1,0.0,2.1,0.0,2.1,6.2
813,CPSC 265: Genetic Engineering Lab,23,3.78,0.0,73.9,0.0,21.7,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0
814,CPSC 270: Applied Entomology,62,2.9,1.6,24.2,8.1,6.5,25.8,0.0,6.5,16.1,3.2,1.6,0.0,4.8,1.6
815,CPSC 431: Plants and Global Change,135,3.24,3.0,25.2,13.3,15.6,24.4,3.7,5.9,6.7,0.0,0.0,0.0,0.0,2.2
816,CPSC 481: Principles and Practices of Cannabis Flower Production,40,3.04,0.0,50.0,0.0,5.0,27.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0,15.0
817,CPSC 498: Crop Sci Professional Develpmt,103,3.62,2.9,65.0,10.7,1.0,10.7,1.0,1.0,2.9,1.9,1.0,1.0,0.0,1.0
