,course,num_students,avg_gpa,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F
0,AAS 100: Intro Asian American Studies,1838,3.49,11.4,42.9,14.0,7.8,10.2,4.4,2.3,1.7,1.4,0.5,0.4,0.3,2.7
1,AAS 120: Intro to Asian Am Pop Culture,52,3.57,7.7,51.9,15.4,5.8,3.8,1.9,5.8,3.8,1.9,0.0,1.9,0.0,0.0
2,AAS 200: U.S. Race and Empire,166,3.53,13.3,42.8,15.7,9.6,7.2,4.2,0.6,0.6,0.6,0.6,1.8,0.6,2.4
3,AAS 215: US Citizenship Comparatively,125,3.66,24.0,37.6,15.2,13.6,1.6,1.6,2.4,0.0,0.0,1.6,1.6,0.0,0.8
4,AAS 246: Asian American Youth in Film,98,3.88,30.6,59.2,4.1,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
5,ABE 100: Intro Agric & Biological Engrg,65,3.73,0.0,75.4,4.6,10.8,3.1,0.0,3.1,0.0,0.0,1.5,0.0,0.0,1.5
6,ABE 141: ABE Principles: Biological,27,3.1,0.0,18.5,14.8,22.2,18.5,7.4,0.0,11.1,3.7,0.0,3.7,0.0,0.0
7,ABE 152: Water in the Global Environment,1860,3.79,54.4,34.2,0.6,2.2,3.2,0.4,0.9,0.8,0.0,0.2,0.5,0.0,2.6
8,ABE 223: ABE Principles: Machine Syst,23,3.7,0.0,82.6,4.3,4.3,0.0,0.0,0.0,0.0,0.0,4.3,0.0,4.3,0.0
9,ABE 224: ABE Principles: Soil & Water,47,3.76,17.0,61.7,0.0,10.6,6.4,0.0,0.0,2.1,0.0,0.0,2.1,0.0,0.0
10,ABE 225: ABE Principles: Bioenvironment,50,3.29,10.0,26.0,12.0,24.0,14.0,0.0,4.0,4.0,0.0,0.0,0.0,2.0,4.0
11,ABE 226: ABE Principles: Bioprocessing,47,3.02,8.5,14.9,19.1,14.9,10.6,17.0,0.0,2.1,2.1,0.0,2.1,2.1,6.4
12,ABE 425: Engrg Measurement Systems,62,3.96,17.7,77.4,0.0,3.2,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,ABE 436: Renewable Energy Systems,62,3.35,6.5,12.9,25.8,29.0,6.5,9.7,6.5,3.2,0.0,0.0,0.0,0.0,0.0
14,ABE 457: NPS Pollution Processes,80,3.63,3.7,47.5,22.5,10.0,7.5,2.5,2.5,1.2,2.5,0.0,0.0,0.0,0.0
15,ABE 469: Industry-Linked Design Project,134,3.72,11.9,44.8,17.9,11.9,11.9,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,ABE 498: Special Topics,45,3.93,17.8,64.4,13.3,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,ACCY 200: Fundamentals of Accounting,3631,3.52,22.5,30.8,12.2,10.4,9.4,5.1,3.8,2.5,1.2,0.7,0.6,0.2,0.6
18,ACCY 201: Accounting and Accountancy I,3482,3.07,20.5,18.4,10.6,8.4,9.1,6.5,4.7,6.5,4.9,2.4,2.7,2.9,2.6
19,ACCY 202: Accounting and Accountancy II,2783,3.26,12.9,23.0,7.8,14.0,19.4,6.4,5.8,4.9,3.7,0.0,1.5,0.0,0.4
20,ACCY 301: Atg Measurement & Disclosure,1303,3.3,13.6,21.3,15.9,14.4,12.7,7.6,5.3,3.6,2.8,1.0,1.0,0.2,0.8
21,ACCY 302: Decision Making for Atg,1376,3.42,11.9,24.9,20.3,15.0,11.3,7.2,4.6,1.7,1.2,0.7,0.5,0.2,0.5
22,ACCY 303: Accounting Institutions and Regulation,1385,3.33,16.8,28.9,11.8,10.5,9.6,6.7,3.8,4.0,2.6,1.4,1.3,1.4,1.2
23,ACCY 304: Accounting Control Systems,1392,3.38,6.8,29.6,15.4,13.1,20.3,5.3,2.8,3.9,1.1,0.2,0.4,0.1,0.7
24,ACCY 312: Principles of Taxation,1204,3.34,10.8,22.5,12.9,16.0,17.9,11.5,3.0,4.1,0.2,0.2,0.2,0.0,0.8
25,ACCY 398: Practical Problems in Atg,1078,3.89,1.4,93.2,0.0,0.0,1.6,0.0,0.0,2.8,0.0,0.0,0.0,0.0,1.0
26,ACCY 405: Assurance and Attestation,1309,3.42,2.0,30.8,20.7,16.9,15.3,6.3,3.8,2.1,1.1,0.3,0.5,0.0,0.2
27,ACCY 410: Advanced Financial Reporting,1200,3.31,10.1,23.9,16.6,11.9,15.7,9.6,3.8,4.1,1.7,0.3,1.5,0.2,0.5
28,ACCY 449: Tax in Action - VITA,52,3.94,0.0,94.2,0.0,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,ACCY 451: Advanced Income Tax Problems,840,3.38,7.5,38.3,8.5,8.9,19.9,2.6,1.7,9.2,2.4,0.2,0.5,0.0,0.4
30,"ACCY 500: Accounting Measurement, Reporting, and Control",11144,3.84,54.9,23.3,10.1,5.6,3.7,1.2,0.5,0.1,0.1,0.0,0.0,0.0,0.4
31,ACCY 501: Accounting Analysis I,120,3.58,27.5,28.3,20.0,8.3,8.3,1.7,1.7,0.0,0.0,0.0,0.0,0.0,4.2
32,ACCY 501: Accounting Analysis I A,1325,3.43,14.6,30.1,18.8,12.8,9.7,4.2,2.4,2.1,0.8,0.4,0.3,0.3,3.4
33,ACCY 502: Accounting Analysis II,459,3.58,15.3,39.7,14.2,8.5,10.9,3.7,2.8,2.4,1.7,0.4,0.4,0.0,0.0
34,ACCY 502: Accounting Analysis II A,1219,3.44,12.0,29.0,16.6,13.3,11.9,7.3,3.2,4.5,1.6,0.0,0.0,0.0,0.6
35,ACCY 503: Managerial Accounting,18876,3.66,34.7,30.0,12.0,8.8,6.6,3.1,1.2,1.1,0.4,0.1,0.1,0.1,2.0
36,ACCY 503: Managerial Accounting A,902,3.51,10.4,28.9,20.8,19.1,14.6,2.0,1.0,1.0,0.2,0.0,0.1,0.0,1.8
37,ACCY 504: Auditing,417,3.67,1.0,47.2,23.3,16.5,6.7,3.1,1.4,0.7,0.0,0.0,0.0,0.0,0.0
38,ACCY 504: Auditing A,1377,3.46,5.5,27.4,18.9,12.0,31.4,3.3,0.6,0.1,0.0,0.0,0.2,0.0,0.6
39,ACCY 505: Federal Taxation,588,3.58,18.4,31.5,11.6,14.8,14.6,6.3,1.5,0.5,0.5,0.2,0.2,0.0,0.0
40,ACCY 505: Federal Taxation A,638,3.6,16.6,37.0,16.3,13.5,7.5,4.4,1.7,1.3,0.0,0.0,0.0,0.0,1.7
41,ACCY 506: Advanced Financial Reporting,209,3.42,14.8,33.0,11.5,9.6,8.1,12.0,4.8,2.4,1.9,0.0,1.4,0.0,0.5
42,ACCY 506: Advanced Topics in Accounting,142,3.64,14.8,27.5,19.7,28.9,6.3,1.4,1.4,0.0,0.0,0.0,0.0,0.0,0.0
43,ACCY 507: Taxation of Bus Entities A,494,3.61,19.6,32.8,18.0,11.7,8.9,3.2,2.0,2.0,0.6,0.4,0.4,0.0,0.2
44,ACCY 510: Financial Reporting Standards,729,3.57,9.2,38.3,10.6,14.7,21.8,4.1,0.8,0.4,0.0,0.0,0.0,0.0,0.1
45,ACCY 512: Data Analytics for Management Accounting,470,3.74,6.0,58.3,18.3,6.2,6.0,2.1,0.6,1.5,0.6,0.0,0.0,0.0,0.4
46,ACCY 515: Auditing & Assurance Standards,374,3.42,0.8,25.9,19.3,27.0,17.6,6.1,1.3,0.5,0.5,0.0,0.3,0.3,0.3
47,ACCY 517: Financial Statement Analysis,138,3.83,12.3,51.4,29.0,2.9,2.9,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0
48,ACCY 517: Financial Statement Analysis and Valuation,489,3.78,10.8,48.9,26.2,6.7,4.9,1.4,0.0,0.8,0.2,0.0,0.0,0.0,0.0
49,ACCY 518: Financial Statement Fraud,146,3.96,84.9,8.9,2.1,3.4,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,ACCY 519: Governmental and Nonprofit Accounting,21,3.43,28.6,14.3,14.3,9.5,4.8,19.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0
51,ACCY 531: Financial Statement Analysis for MBAs,674,3.87,3.0,77.9,11.1,3.6,3.0,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.9
52,ACCY 532: Accounting for Mergers & Acquisitions and Other Complex Transactions,604,3.93,83.4,11.1,2.6,0.8,0.7,0.0,0.0,0.0,0.2,0.2,0.0,0.0,1.0
53,ACCY 550: Multistate Taxation,24,3.58,12.5,29.2,20.8,16.7,16.7,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0
54,ACCY 551: Corporate Income Taxation,144,3.46,1.4,18.8,22.9,35.4,17.4,3.5,0.7,0.0,0.0,0.0,0.0,0.0,0.0
55,ACCY 552: Partnership Income Taxation,133,3.58,1.5,36.1,23.3,17.3,20.3,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0
56,ACCY 554: International Taxation,22,3.53,9.1,36.4,13.6,18.2,9.1,4.5,9.1,0.0,0.0,0.0,0.0,0.0,0.0
57,ACCY 556: Tax Research,201,3.59,0.0,65.7,0.0,0.0,28.4,0.0,0.0,5.5,0.0,0.0,0.5,0.0,0.0
58,ACCY 569: Data Driven Decisions in Accounting,396,3.64,44.4,30.3,8.6,3.3,4.5,0.8,1.5,1.3,0.3,0.0,0.8,0.0,4.3
59,ACCY 570: Data Analytics Foundations for Accountancy,2152,3.85,18.7,53.3,17.0,6.4,3.3,0.7,0.0,0.3,0.0,0.0,0.2,0.0,0.0
60,ACCY 571: Statistical Analyses for Accountancy,112,3.79,11.6,59.8,13.4,4.5,8.0,0.9,0.0,0.9,0.0,0.9,0.0,0.0,0.0
61,ACCY 574: Risk Management and Innovation,423,3.9,0.7,89.1,3.3,1.7,2.6,0.5,0.5,0.7,0.5,0.0,0.0,0.2,0.2
62,ACCY 575: Data Analytics Applications in Accountancy,846,3.79,20.4,43.9,21.7,8.0,3.5,0.9,0.5,0.1,0.4,0.1,0.0,0.2,0.1
63,ACCY 576: Data Preparation for Accounting,299,3.76,47.8,30.1,8.0,5.4,3.7,0.7,0.3,1.7,0.0,0.0,0.0,0.0,2.3
64,ACCY 577: Machine Learning for Accounting,258,3.73,18.2,39.5,25.2,8.1,5.8,1.2,0.8,0.0,0.0,0.0,0.0,0.0,1.2
65,ACCY 578: ACCY Analytics Appl - A,147,3.71,27.9,36.7,22.4,4.1,2.7,2.0,0.7,0.7,0.0,0.0,0.0,0.0,2.7
66,ACCY 578: ACCY Analytics Appl - B,90,3.89,81.1,10.0,1.1,2.2,1.1,1.1,2.2,0.0,1.1,0.0,0.0,0.0,0.0
67,ACCY 593: Disruption & Emerging Tech,120,3.96,51.7,41.7,3.3,0.8,1.7,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,ACCY 593: Financial Statement Analysis,102,3.79,1.0,69.6,12.7,7.8,3.9,2.9,2.0,0.0,0.0,0.0,0.0,0.0,0.0
69,ACE 100: Introduction to Applied Microeconomics,559,3.21,15.6,20.0,17.0,9.1,11.3,6.4,6.1,5.9,3.0,1.1,1.4,1.1,2.0
70,ACE 199: AI in Wealth Mgmt & Fin Planng,52,3.85,94.2,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,1.9,0.0,1.9
71,ACE 199: Applied Statistics Lab,43,3.89,86.0,2.3,4.7,2.3,0.0,2.3,0.0,2.3,0.0,0.0,0.0,0.0,0.0
72,ACE 199: Digital Mktg and Social Media,172,3.52,0.0,63.4,0.0,0.0,27.9,0.0,0.0,6.4,0.0,0.0,2.3,0.0,0.0
73,ACE 199: Introduction to Sales,83,3.91,47.0,43.4,4.8,0.0,3.6,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0
74,ACE 199: Negotiation,1102,3.74,58.2,23.3,4.8,4.4,2.3,1.2,1.3,1.1,0.3,0.0,0.4,0.2,2.6
75,ACE 199: Undergraduate Open Seminar,372,3.8,69.4,12.9,5.4,3.8,2.7,0.5,1.1,1.6,0.5,1.6,0.0,0.0,0.5
76,"ACE 199: Women, Money and Power",152,3.59,45.4,30.9,0.0,0.0,15.1,0.0,0.0,2.6,0.0,0.0,3.3,0.0,2.6
77,ACE 210: Environmental Economics,849,3.11,12.4,18.8,15.0,9.3,14.3,8.0,4.8,7.5,3.5,1.2,1.5,1.2,2.5
78,ACE 231: Food and Agribusiness Mgt,455,3.32,15.6,22.9,18.0,11.9,11.4,6.4,3.5,3.7,1.5,0.7,1.3,0.7,2.4
79,ACE 232: Farm Management,273,3.1,15.0,16.5,14.3,7.3,13.9,9.9,11.4,1.8,1.1,2.6,2.9,1.1,2.2
80,ACE 240: Personal Financial Planning,1076,3.39,37.6,21.7,6.6,4.3,10.7,3.5,3.3,4.5,1.2,0.8,2.0,0.7,3.2
81,ACE 243: Money and Happiness,30,3.58,0.0,50.0,23.3,6.7,10.0,3.3,3.3,0.0,0.0,0.0,3.3,0.0,0.0
82,ACE 251: The World Food Economy,116,2.91,0.0,21.6,19.0,12.1,11.2,7.8,8.6,4.3,3.4,1.7,3.4,0.0,6.9
83,ACE 255: Economics of Food and Environmental Justice,525,3.76,54.5,21.0,10.7,4.6,2.9,2.3,1.0,0.4,0.8,0.6,0.6,0.0,1.0
84,ACE 261: Applied Statistical Methods,23,3.19,13.0,26.1,8.7,4.3,13.0,8.7,8.7,13.0,4.3,0.0,0.0,0.0,0.0
85,ACE 262: Applied Statistical Methods and Data Analytics I,309,2.97,9.7,19.1,13.9,9.1,14.9,8.7,3.6,5.2,3.6,4.2,2.3,0.3,5.5
86,ACE 264: Applied Statistical Methods & Data Analytics 2,360,3.23,15.8,16.7,15.8,10.6,13.6,8.3,7.2,6.7,2.2,0.8,1.4,0.0,0.8
87,ACE 270: Consumer Economics,358,3.33,12.6,24.3,17.3,12.6,15.4,5.0,3.1,4.2,2.0,1.1,0.6,0.3,1.7
88,ACE 300: Intermediate Applied Microeconomics,915,3.12,13.3,22.0,9.5,9.0,16.3,6.9,5.0,8.5,2.8,1.7,2.5,1.2,1.2
89,ACE 306: Food Law,212,3.16,6.6,25.5,16.0,8.0,17.0,7.1,4.2,6.1,3.3,1.9,1.4,0.9,1.9
90,ACE 310: Natural Resource Economics,319,3.31,16.3,26.3,11.6,11.0,13.2,7.8,3.1,4.4,0.9,1.3,1.9,0.3,1.9
91,ACE 335: Food Marketing and Behavior,133,3.68,34.6,24.1,18.0,9.0,8.3,2.3,0.0,1.5,2.3,0.0,0.0,0.0,0.0
92,ACE 341: Contemp Issue Comm Fin Plng,245,3.63,39.6,34.7,4.1,4.1,6.5,0.8,0.8,3.7,1.6,0.0,3.3,0.0,0.8
93,ACE 341: Contemporary Issues in Policy,109,3.77,45.9,33.0,5.5,4.6,5.5,2.8,0.9,0.0,0.0,0.0,0.0,0.0,1.8
94,ACE 341: Issues in AgAccy and FinAg,85,3.83,24.7,60.0,4.7,1.2,3.5,0.0,2.4,2.4,1.2,0.0,0.0,0.0,0.0
95,ACE 341: Issues in Agribus Mkts & Mgmt,157,3.64,40.1,31.8,6.4,3.2,7.6,3.2,0.6,3.8,0.0,0.0,1.9,0.0,1.3
96,ACE 341: Issues in Cons Econ & Finance,64,3.83,32.8,45.3,10.9,3.1,4.7,1.6,0.0,0.0,0.0,0.0,1.6,0.0,0.0
97,ACE 341: Issues&Careers in Applied Econ,35,3.28,14.3,42.9,2.9,2.9,17.1,2.9,0.0,8.6,0.0,0.0,2.9,0.0,5.7
98,ACE 344: FinTech in Personal Finance and Financial Planning,82,3.79,26.8,52.4,3.7,4.9,7.3,1.2,1.2,0.0,2.4,0.0,0.0,0.0,0.0
99,ACE 345: Finan Decision Indiv Sm Bus,302,3.61,4.0,57.3,12.6,8.9,5.6,4.0,1.7,2.3,1.0,1.0,0.7,0.3,0.7
100,ACE 349: Risk Management and Financial Planning Across the Life Cycle,35,3.29,0.0,8.6,34.3,22.9,17.1,8.6,2.9,5.7,0.0,0.0,0.0,0.0,0.0
101,ACE 360: Spreadsheet Models and Applications,267,3.51,6.7,58.8,6.7,3.7,9.7,3.0,1.1,3.7,1.9,0.0,0.4,0.7,3.4
102,ACE 398: Financial Planning Technologie,50,3.84,6.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
103,ACE 398: Financial Planning Technology,38,3.95,13.2,81.6,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,"ACE 398: Rec, Sprt, & Tour Econ Croatia",21,3.87,42.9,38.1,9.5,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,ACE 403: Agricultural Law,76,3.65,19.7,25.0,30.3,15.8,1.3,6.6,0.0,0.0,0.0,0.0,1.3,0.0,0.0
106,ACE 410: Energy Economics,58,3.43,20.7,24.1,13.8,12.1,8.6,10.3,6.9,1.7,0.0,0.0,0.0,0.0,1.7
107,ACE 427: Commodity Price Analysis,430,3.24,6.3,20.0,16.0,16.0,15.1,11.9,5.3,6.0,1.6,1.4,0.0,0.0,0.2
108,ACE 428: Commodity Futures and Options,118,3.13,20.3,17.8,10.2,6.8,8.5,9.3,8.5,11.9,0.8,1.7,1.7,1.7,0.8
109,ACE 430: Food Marketing,164,2.93,6.1,17.1,10.4,14.0,16.5,4.9,8.5,9.8,3.0,0.0,8.5,0.0,1.2
110,ACE 431: Agri-food Strategic Management,85,3.26,5.9,24.7,12.9,15.3,14.1,10.6,7.1,8.2,1.2,0.0,0.0,0.0,0.0
111,ACE 432: Advanced Farm Management,23,3.52,43.5,17.4,13.0,4.3,4.3,4.3,4.3,4.3,0.0,0.0,0.0,4.3,0.0
112,ACE 435: Global Agribusiness Management,528,3.59,38.1,26.5,10.6,4.9,9.7,0.9,1.5,3.6,0.4,0.4,1.5,0.0,1.9
113,ACE 440: Finan Plan for Professionals,226,3.59,8.4,46.9,14.6,4.4,19.9,1.8,0.4,0.9,1.3,0.0,0.4,0.0,0.9
114,ACE 444: Financial Services & Investing Planning,378,3.07,16.7,24.3,4.0,6.3,20.9,3.2,3.4,7.9,2.9,0.3,6.3,0.5,3.2
115,ACE 445: Intermediate Financial and Estate Planning,544,3.5,35.3,32.2,0.0,0.0,21.9,0.0,0.4,6.8,0.0,0.0,0.6,0.0,2.9
116,ACE 446: Modeling App's Finan Plan,167,3.17,12.6,31.7,1.2,9.6,22.8,0.0,4.8,8.4,2.4,1.2,1.2,0.6,3.6
117,ACE 449: Retirement & Benefit Planning,300,3.33,8.7,20.3,19.7,18.3,16.3,6.7,3.3,2.7,2.0,0.0,0.7,0.3,1.0
118,ACE 451: Agriculture in Intl Dev,151,3.3,13.2,19.2,9.3,27.8,9.9,5.3,5.3,7.3,0.7,0.0,1.3,0.0,0.7
119,ACE 456: Agr and Food Policies,30,2.66,0.0,26.7,0.0,10.0,16.7,0.0,6.7,23.3,0.0,0.0,13.3,0.0,3.3
120,ACE 456: Agricultural and Food Policies,33,3.4,6.1,42.4,0.0,12.1,33.3,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0
121,ACE 474: Economics of Consumption,187,3.27,15.5,19.3,11.2,12.8,14.4,13.4,3.7,8.0,0.0,0.5,0.0,0.0,1.1
122,ACE 476: Behavioral Economics and Financial Decision Making,168,3.18,1.2,24.4,19.6,18.5,10.7,6.0,6.5,7.1,1.8,0.6,1.2,0.0,2.4
123,ACE 592: Data Science for Applied Econo,52,3.33,5.8,19.2,23.1,17.3,21.2,5.8,0.0,5.8,0.0,0.0,0.0,0.0,1.9
124,ACES 101: Contemporary Issues in ACES,840,3.73,47.1,31.1,6.8,4.8,1.7,1.5,2.4,0.7,0.8,0.8,1.0,0.5,0.8
125,ACES 102: Intro Sustainable Food Systems,234,3.56,20.5,43.2,14.5,2.1,7.3,1.3,2.1,3.8,1.7,0.0,0.0,0.9,2.6
126,ACES 199: Undergraduate Open Seminar,35,3.51,54.3,5.7,0.0,0.0,34.3,0.0,0.0,2.9,0.0,0.0,2.9,0.0,0.0
127,ACES 298: International Experience,21,3.9,85.7,9.5,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0
128,ADV 150: Introduction to Advertising,1558,3.8,56.4,31.3,1.6,1.4,4.2,0.3,0.4,1.9,0.2,0.1,0.6,0.1,1.5
129,ADV 200: Data Literacy,25,3.51,0.0,32.0,28.0,20.0,12.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0
130,ADV 250: Advertising and Brand Strategy,294,3.78,0.3,76.5,9.2,2.0,6.1,1.4,1.0,1.4,0.3,1.0,0.3,0.3,0.0
131,ADV 281: Advertising Research Methods,904,3.05,12.4,15.5,12.7,8.2,17.6,10.2,6.5,6.2,4.3,1.8,1.9,1.1,1.7
132,ADV 283: Advertising and Brand Strategy,668,3.73,6.3,60.6,15.7,5.7,5.7,2.8,0.3,1.3,0.1,0.0,0.1,0.4,0.7
133,ADV 284: Consumer Insight,1482,3.53,7.9,34.3,24.9,12.3,8.1,6.5,1.3,1.7,1.4,0.4,0.4,0.3,0.4
134,ADV 290: AI and Advertising,25,3.83,72.0,16.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
135,ADV 290: Adventures in Creative,69,3.79,0.0,79.7,7.2,0.0,4.3,4.3,1.4,1.4,1.4,0.0,0.0,0.0,0.0
136,ADV 290: Becoming an Influencer,81,3.59,25.9,46.9,4.9,1.2,9.9,1.2,1.2,2.5,0.0,2.5,1.2,0.0,2.5
137,ADV 290: Social Media & Personal Brand,301,3.44,3.7,33.9,16.6,14.3,17.3,6.0,5.6,0.7,1.7,0.0,0.0,0.3,0.0
138,ADV 290: Social Media for Social Justce,23,3.01,8.7,30.4,0.0,4.3,30.4,0.0,4.3,8.7,4.3,0.0,4.3,0.0,4.3
139,ADV 290: Sports PR,30,3.94,0.0,86.7,10.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,ADV 290: Sports Public Relations,24,3.19,29.2,16.7,8.3,8.3,12.5,0.0,4.2,8.3,8.3,0.0,0.0,0.0,4.2
141,ADV 305: Advertising Technology and the Digital World,42,3.81,16.7,50.0,14.3,14.3,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,"ADV 305: Digital Advertising Content, Technologies and Concepts",208,3.75,33.2,38.5,11.5,6.7,4.8,2.4,0.0,0.5,0.5,0.5,0.0,0.0,1.4
143,ADV 310: Intro to Public Relations,688,3.45,10.0,36.6,15.1,7.6,16.6,3.5,3.2,3.8,1.5,0.4,0.4,0.0,1.3
144,ADV 311: Classic Campaigns,82,3.15,0.0,24.4,19.5,11.0,18.3,11.0,6.1,2.4,1.2,1.2,2.4,0.0,2.4
145,ADV 314: Sports Public Relations,94,3.35,22.3,26.6,13.8,7.4,7.4,5.3,3.2,6.4,1.1,3.2,0.0,1.1,2.1
146,ADV 350: Writing for Public Relations,30,3.98,70.0,26.7,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,ADV 360: Innovations in Advertising,490,3.43,0.0,39.4,24.7,8.6,10.6,4.7,3.3,4.3,2.0,0.0,2.4,0.0,0.0
148,ADV 390: Content Creation,765,3.24,0.0,25.5,15.3,14.2,19.5,12.5,6.9,4.1,0.8,0.4,0.3,0.3,0.3
149,ADV 393: Advertising and Society,241,3.44,12.9,39.4,16.6,6.2,6.6,5.4,2.1,4.6,2.1,0.0,1.2,0.0,2.9
150,ADV 400: Copywriting,40,3.75,0.0,77.5,5.0,2.5,5.0,5.0,2.5,0.0,2.5,0.0,0.0,0.0,0.0
151,ADV 400: NSAC Campaign,28,3.94,0.0,85.7,10.7,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,ADV 409: Media Entrepreneurship,228,3.87,18.0,64.5,7.5,6.1,1.3,0.9,0.9,0.4,0.0,0.0,0.0,0.0,0.4
153,ADV 410: Public Relations Strategies,55,3.78,34.5,34.5,10.9,10.9,3.6,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,ADV 460: Innovation in Advertising,328,3.57,19.8,42.1,8.8,8.8,6.7,4.6,2.7,3.0,0.6,0.3,0.9,0.3,1.2
155,ADV 460: Innovations in Advertising,404,3.45,0.0,33.7,28.7,10.9,14.4,3.5,3.0,2.5,2.0,0.0,1.0,0.0,0.5
156,ADV 461: Computational Advertising,21,3.64,14.3,23.8,42.9,4.8,9.5,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0
157,ADV 480: Social Media Analytics,78,3.91,61.5,26.9,3.8,1.3,5.1,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,ADV 483: Audience Analysis,671,3.28,2.5,19.5,21.9,18.6,18.2,8.8,4.6,3.0,0.6,1.2,0.3,0.3,0.4
159,ADV 490: Digital Portfolio,34,3.72,44.1,26.5,14.7,2.9,5.9,2.9,0.0,0.0,0.0,0.0,0.0,0.0,2.9
160,ADV 490: Social Media Analytics,27,3.83,40.7,48.1,3.7,0.0,0.0,0.0,0.0,3.7,3.7,0.0,0.0,0.0,0.0
161,ADV 490: Storytelling for Video in ADV,21,3.54,19.0,42.9,14.3,4.8,9.5,0.0,0.0,4.8,0.0,0.0,0.0,0.0,4.8
162,ADV 491: Digital Content and Social Media Management,43,3.82,62.8,27.9,0.0,0.0,2.3,2.3,0.0,0.0,2.3,0.0,2.3,0.0,0.0
163,ADV 492: Tech and Advertising Campaigns,49,3.63,16.3,40.8,14.3,14.3,6.1,2.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0
164,ADV 498: The Sandage Project,283,3.78,0.0,64.3,19.4,8.8,5.3,0.4,0.7,0.7,0.4,0.0,0.0,0.0,0.0
165,ADV 581: Quanti Research Methods in Adv,26,3.7,26.9,42.3,0.0,11.5,15.4,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0
166,ADV 582: Qualitative Rsrch in Advert,22,3.68,9.1,36.4,27.3,13.6,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,ADV 587: Graduate Seminar I,24,3.86,0.0,70.8,16.7,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,AE 100: Intro to Aerospace Engineering,474,3.83,9.5,71.1,8.6,2.5,4.6,0.8,0.6,1.1,0.2,0.2,0.0,0.2,0.4
169,AE 140: Aerospace Computer-Aided Design,172,3.4,0.0,51.7,12.8,9.3,11.6,2.9,2.3,0.6,0.0,2.9,2.3,0.0,3.5
170,AE 199: Introduction to Rocketry,28,3.82,60.7,32.1,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,3.6,0.0,0.0
171,AE 202: Aerospace Flight Mechanics,259,3.4,13.5,33.6,16.6,10.4,8.9,6.9,2.7,0.8,0.8,0.0,1.5,0.8,3.5
172,AE 311: Incompressible Flow,165,3.24,4.2,32.7,21.2,9.7,8.5,7.3,3.0,2.4,3.6,0.6,1.2,1.8,3.6
173,AE 312: Compressible Flow,527,3.14,8.0,26.4,12.9,9.7,13.7,8.9,5.7,4.7,2.5,1.5,2.7,0.9,2.5
174,AE 321: Mechs of Aerospace Structures,686,2.71,2.3,20.0,5.5,10.5,17.6,7.9,7.0,10.6,4.1,2.2,4.1,1.9,6.3
175,AE 323: Applied Aerospace Structures,594,2.87,3.0,24.4,8.2,10.1,15.0,8.4,5.7,8.6,3.9,2.2,4.9,2.2,3.4
176,AE 352: Aerospace Dynamical Systems,238,2.9,10.9,13.4,10.5,10.1,14.3,8.4,8.4,9.2,4.2,2.5,4.6,2.5,0.8
177,AE 353: Aerospace Control Systems,513,3.11,9.4,24.4,12.5,10.9,16.8,8.4,2.1,4.3,1.9,0.6,2.9,1.6,4.3
