,course,num_students,avg_gpa,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F
1889,GSD 101: Introduction to Game Studies and Design,455,3.76,3.5,72.3,9.0,4.4,5.3,1.5,0.4,1.1,0.2,0.4,0.7,0.0,1.1
1890,GSD 102: Introduction to the Videogame Industry,160,3.69,48.1,28.1,6.9,3.1,5.0,1.2,0.0,3.7,0.0,0.0,1.9,0.6,1.2
1891,GSD 103: The Basics of Game Design,140,3.12,39.3,24.3,0.0,2.9,5.7,2.9,2.1,3.6,2.1,2.1,4.3,1.4,9.3
1892,GSD 202: The Role of Play in Life & Art,29,3.87,0.0,89.7,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0
1893,GSD 390: 2D Game Design with RPG Maker,22,3.61,86.4,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,4.5,4.5
1894,GSD 403: An Introduction to Top Down Video Game Design,67,3.77,0.0,67.2,20.9,3.0,4.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
1895,GSD 405: Introduction to the Video Game Development Process,54,3.77,1.9,59.3,22.2,9.3,3.7,1.9,0.0,1.9,0.0,0.0,0.0,0.0,0.0
1896,GWS 100: Intro Gender & Women's Studies,984,3.51,20.5,36.0,13.6,7.5,7.7,4.7,2.0,2.2,1.8,0.6,1.0,0.2,2.0
1897,"GWS 201: Race, Gender & Power",315,3.46,30.2,29.2,13.0,6.3,5.7,3.8,1.3,2.9,1.6,0.0,0.3,1.0,4.8
1898,GWS 202: Sexualities,518,3.4,29.7,27.4,10.0,7.7,8.1,3.5,3.9,2.3,0.0,0.4,1.2,0.4,5.4
1899,GWS 204: Gender in Gaming,27,3.75,3.7,48.1,25.9,18.5,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1900,"GWS 255: Queer Lives, Queer Politics",87,3.38,36.8,20.7,11.5,12.6,3.4,1.1,1.1,1.1,2.3,0.0,1.1,0.0,8.0
1901,GWS 275: The Politics of Fashion,704,3.62,63.6,13.9,5.7,3.1,2.6,2.0,0.3,1.7,0.9,0.6,1.1,0.3,4.3
1902,GWS 282: Feminist and Queer Activisms,85,3.84,36.5,47.1,5.9,2.4,4.7,1.2,0.0,1.2,0.0,0.0,0.0,1.2,0.0
1903,"GWS 335: Film, TV, and Gender",55,3.6,9.1,36.4,34.5,9.1,3.6,1.8,1.8,0.0,0.0,0.0,0.0,1.8,1.8
1904,GWS 345: Digital & Gender Cultures,55,3.7,50.9,29.1,1.8,0.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6
1905,GWS 350: Feminist & Gender Theory,77,3.7,15.6,33.8,24.7,19.5,3.9,0.0,1.3,1.3,0.0,0.0,0.0,0.0,0.0
1906,GWS 355: Beauty and Culture,30,3.63,30.0,26.7,10.0,16.7,3.3,10.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0
1907,GWS 366: Feminist Disability Studies,50,3.77,34.0,38.0,10.0,4.0,10.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
1908,GWS 370: Queer Theory,110,3.32,15.5,38.2,10.0,5.5,12.7,3.6,1.8,4.5,0.9,0.0,0.0,0.0,7.3
1909,GWS 378: Fairy Tales & Gender Formation,93,3.75,39.8,24.7,17.2,9.7,5.4,1.1,1.1,0.0,0.0,0.0,0.0,0.0,1.1
1910,GWS 380: Black Women Hist & Cultures,60,3.78,50.0,35.0,3.3,3.3,0.0,0.0,3.3,0.0,1.7,3.3,0.0,0.0,0.0
1911,GWS 382: Black Women & Popular Culture,23,2.36,13.0,4.3,4.3,8.7,13.0,8.7,8.7,13.0,4.3,4.3,0.0,0.0,17.4
1912,GWS 385: Transnational Sexualities,29,3.52,0.0,48.3,17.2,13.8,3.4,6.9,0.0,10.3,0.0,0.0,0.0,0.0,0.0
1913,GWS 387: History of Sexuality in U.S.,51,3.41,15.7,41.2,11.8,5.9,13.7,0.0,0.0,3.9,0.0,0.0,2.0,0.0,5.9
1914,GWS 395: Gender and Human Rights,22,3.32,22.7,18.2,13.6,4.5,22.7,4.5,4.5,0.0,4.5,0.0,4.5,0.0,0.0
1915,"HDFS 101: Opportunities, Careers in HDFS",273,3.6,14.3,62.3,0.7,0.7,12.1,1.1,0.0,3.7,0.4,0.0,1.5,0.0,3.3
1916,HDFS 105: Intro to Human Development,3079,3.75,25.9,54.4,3.6,2.4,7.4,1.0,0.7,1.9,0.3,0.5,0.6,0.0,1.3
1917,HDFS 108: Grief and Loss Across the Lifespan,263,3.83,40.7,41.1,7.6,4.6,1.1,1.1,0.8,0.4,1.1,0.4,0.8,0.4,0.0
1918,HDFS 120: Intro to Family Studies,841,3.39,3.8,43.8,13.2,9.9,13.0,3.3,3.0,4.4,1.1,0.8,1.0,0.5,2.4
1919,HDFS 206: Early Childhood Curriculum Dev,75,3.57,0.0,66.7,0.0,0.0,26.7,0.0,0.0,5.3,0.0,0.0,0.0,0.0,1.3
1920,HDFS 207: Self in Context,90,3.81,42.2,33.3,11.1,6.7,2.2,0.0,2.2,0.0,2.2,0.0,0.0,0.0,0.0
1921,HDFS 208: Child Fam with Special Needs,467,3.83,31.9,57.8,0.4,3.0,3.2,0.2,0.0,0.4,0.0,0.4,1.3,0.0,1.3
1922,"HDFS 208: Child and Family Inclusion: Disability, Health, and Diversity",240,3.87,10.4,80.4,0.4,2.1,3.3,0.4,0.0,1.7,0.0,0.0,0.8,0.0,0.4
1923,HDFS 220: Families in Global Perspective,1457,3.68,0.0,55.6,24.1,9.0,3.8,2.2,2.5,1.1,0.1,1.0,0.3,0.0,0.3
1924,HDFS 225: Close Relationships,369,3.52,10.3,49.9,11.4,7.6,10.0,1.6,1.6,2.2,0.3,0.3,0.8,0.5,3.5
1925,HDFS 290: Intro to Research Methods,614,3.18,13.8,18.9,17.3,11.9,11.2,6.8,4.1,4.9,4.2,2.4,1.8,0.8,1.8
1926,HDFS 301: Infancy & Early Childhood,470,3.54,0.4,60.4,6.6,7.2,9.6,5.5,3.6,3.0,1.7,0.4,1.1,0.0,0.4
1927,HDFS 305: Middle Childhood,338,3.68,21.9,45.0,10.7,8.0,4.7,3.8,1.5,2.1,0.6,1.2,0.0,0.0,0.6
1928,HDFS 310: Adult Development,634,3.64,23.7,35.5,20.3,5.0,4.1,5.2,1.7,1.1,1.6,0.0,0.2,0.3,1.3
1929,HDFS 320: Families and the Law,176,3.7,44.9,26.1,9.1,3.4,7.4,4.5,1.1,1.1,0.6,0.0,0.6,0.6,0.6
1930,HDFS 322: US Latina and Latino Families,182,3.67,39.6,30.2,7.7,8.2,7.1,2.2,0.5,0.5,1.1,0.0,0.5,0.0,2.2
1931,HDFS 330: Statistical Reasoning for Everyday Life,91,3.66,24.2,33.0,20.9,7.7,5.5,4.4,1.1,2.2,0.0,0.0,0.0,0.0,1.1
1932,"HDFS 335: Food, Identity, & Family Life",44,3.19,0.0,29.5,18.2,13.6,20.5,4.5,2.3,0.0,4.5,0.0,2.3,0.0,4.5
1933,"HDFS 340: Gender, Relationshps & Society",130,3.57,23.8,38.5,11.5,4.6,7.7,3.8,1.5,3.8,2.3,0.0,0.8,0.8,0.8
1934,HDFS 379: Learning Exp South Africa,23,3.9,0.0,95.7,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0
1935,HDFS 398: Families and the Law,24,3.62,45.8,25.0,12.5,4.2,0.0,0.0,8.3,0.0,0.0,0.0,0.0,0.0,4.2
1936,HDFS 401: Socialization and Development,185,3.75,3.8,76.8,0.0,0.0,14.6,0.0,0.0,4.3,0.0,0.0,0.0,0.5,0.0
1937,HDFS 405: Adolescent Development,476,3.72,45.2,27.5,10.1,4.6,4.8,1.7,1.9,0.8,0.6,1.3,0.8,0.6,0.0
1938,HDFS 408: Hospitalized Children,304,3.74,23.0,43.8,15.8,8.9,3.3,1.3,1.0,1.0,0.7,0.0,0.3,0.7,0.3
1939,"HDFS 420: Inequality, Public Policy, and U.S. Families",181,3.81,47.0,23.2,13.8,9.4,3.9,1.1,0.6,1.1,0.0,0.0,0.0,0.0,0.0
1940,HDFS 425: Family Stress and Change,268,3.75,18.3,49.6,14.2,7.1,4.5,2.6,1.9,0.7,1.1,0.0,0.0,0.0,0.0
1941,HDFS 426: Family Conflict Management,195,3.3,5.6,37.9,11.8,9.7,8.7,9.2,5.6,4.1,2.6,1.0,1.5,0.5,1.5
1942,"HDFS 444: LGBT Indiv, Fam & Community",23,3.09,4.3,39.1,13.0,8.7,4.3,4.3,4.3,8.7,0.0,4.3,0.0,0.0,8.7
1943,HIST 100: Global History,1701,3.53,19.3,30.7,18.2,12.6,8.1,2.8,2.3,1.3,1.4,0.5,0.8,0.0,2.0
1944,HIST 103: A History of Everything: The Big Bang to Big Data,1122,3.51,10.3,26.6,26.7,13.5,11.9,5.7,1.6,2.3,0.2,0.4,0.0,0.0,0.7
1945,HIST 104: Black Music,2010,3.67,15.6,44.3,17.8,9.9,5.8,2.0,1.0,1.2,0.6,0.5,0.3,0.0,1.1
1946,HIST 105: Latin America to Independence,35,3.48,5.7,31.4,14.3,25.7,11.4,2.9,5.7,2.9,0.0,0.0,0.0,0.0,0.0
1947,HIST 106: Modern Latin America,25,3.89,40.0,48.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1948,HIST 111: History of Africa to 1800,117,3.47,18.8,30.8,17.1,11.1,10.3,0.9,0.9,5.1,0.0,0.0,3.4,0.0,1.7
1949,HIST 112: History of Africa from 1800,66,3.18,15.2,31.8,7.6,13.6,6.1,1.5,3.0,9.1,1.5,3.0,3.0,0.0,4.5
1950,HIST 120: East Asian Civilizations,764,3.11,14.4,28.7,12.2,8.9,10.1,5.1,2.1,4.3,2.1,0.9,1.2,2.1,8.0
1951,HIST 130: History of South Asia,91,2.85,5.5,35.2,11.0,9.9,8.8,3.3,0.0,2.2,2.2,2.2,1.1,2.2,16.5
1952,HIST 135: History of Islamic Middle East,34,2.84,0.0,17.6,14.7,20.6,14.7,8.8,5.9,0.0,5.9,0.0,0.0,0.0,11.8
1953,HIST 141: Western Civ to 1660,46,3.04,4.3,17.4,34.8,13.0,0.0,8.7,4.3,0.0,4.3,4.3,0.0,0.0,8.7
1954,HIST 141: Western Worlds: Ancient and Medieval Societies from the Mediterranean to Northern Europe,138,3.16,2.9,17.4,13.0,23.2,15.9,15.9,7.2,1.4,0.0,0.0,0.0,0.0,2.9
1955,HIST 142: Modern Europe and the World,42,3.64,14.3,42.9,9.5,4.8,23.8,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1956,HIST 164: The Automobile,40,3.28,0.0,37.5,35.0,7.5,7.5,0.0,0.0,0.0,0.0,0.0,2.5,0.0,10.0
1957,HIST 170: US History to 1877-ACP,27,3.38,3.7,51.9,11.1,3.7,14.8,3.7,0.0,0.0,3.7,0.0,0.0,3.7,3.7
