,course,num_students,avg_gpa,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F
0,AAS 100: Intro Asian American Studies,2523,3.51,18.0,39.1,13.2,7.1,9.4,4.0,2.3,1.7,1.1,0.5,0.5,0.4,2.8
1,AAS 120: Intro to Asian Am Pop Culture,52,3.57,7.7,51.9,15.4,5.8,3.8,1.9,5.8,3.8,1.9,0.0,1.9,0.0,0.0
2,AAS 200: U.S. Race and Empire,196,3.52,12.2,43.9,15.3,8.7,7.7,4.6,0.5,1.0,1.0,0.5,1.5,0.5,2.6
3,AAS 215: US Citizenship Comparatively,125,3.66,24.0,37.6,15.2,13.6,1.6,1.6,2.4,0.0,0.0,1.6,1.6,0.0,0.8
4,AAS 246: Asian American Youth in Film,98,3.88,30.6,59.2,4.1,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
5,AAS 258: Muslims in America,25,3.57,4.0,64.0,16.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0
6,ABE 100: Intro Agric & Biological Engrg,65,3.73,0.0,75.4,4.6,10.8,3.1,0.0,3.1,0.0,0.0,1.5,0.0,0.0,1.5
7,ABE 127: Introduction to Agricultural & Biological Engineering,172,3.91,14.0,72.1,8.1,3.5,0.0,0.0,1.2,1.2,0.0,0.0,0.0,0.0,0.0
8,ABE 141: ABE Principles: Biological,27,3.1,0.0,18.5,14.8,22.2,18.5,7.4,0.0,11.1,3.7,0.0,3.7,0.0,0.0
9,ABE 152: Water in the Global Environment,1860,3.79,54.4,34.2,0.6,2.2,3.2,0.4,0.9,0.8,0.0,0.2,0.5,0.0,2.6
10,ABE 223: ABE Principles: Machine Syst,23,3.7,0.0,82.6,4.3,4.3,0.0,0.0,0.0,0.0,0.0,4.3,0.0,4.3,0.0
11,ABE 224: ABE Principles: Soil & Water,47,3.76,17.0,61.7,0.0,10.6,6.4,0.0,0.0,2.1,0.0,0.0,2.1,0.0,0.0
12,ABE 225: ABE Principles: Bioenvironment,50,3.29,10.0,26.0,12.0,24.0,14.0,0.0,4.0,4.0,0.0,0.0,0.0,2.0,4.0
13,ABE 226: ABE Principles: Bioprocessing,47,3.02,8.5,14.9,19.1,14.9,10.6,17.0,0.0,2.1,2.1,0.0,2.1,2.1,6.4
14,ABE 232: Context in International Interventions,220,3.68,28.2,39.5,12.3,7.7,3.2,2.3,2.3,1.4,0.9,0.0,0.9,0.5,0.9
15,ABE 425: Engrg Measurement Systems,62,3.96,17.7,77.4,0.0,3.2,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,ABE 430: Project Management,428,3.77,4.0,76.6,0.0,4.9,10.0,0.0,0.7,3.3,0.0,0.2,0.0,0.0,0.2
17,ABE 436: Renewable Energy Systems,112,3.56,8.9,33.9,17.9,21.4,7.1,5.4,3.6,1.8,0.0,0.0,0.0,0.0,0.0
18,ABE 457: NPS Pollution Processes,80,3.63,3.7,47.5,22.5,10.0,7.5,2.5,2.5,1.2,2.5,0.0,0.0,0.0,0.0
19,ABE 469: Industry-Linked Design Project,134,3.72,11.9,44.8,17.9,11.9,11.9,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,ABE 488: Bioprocessing Biomass for Fuel,67,3.16,3.0,14.9,14.9,16.4,25.4,13.4,4.5,3.0,3.0,1.5,0.0,0.0,0.0
21,ABE 498: Eng Design for Solar SmartHome,99,3.92,1.0,86.9,9.1,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
22,ABE 498: Special Topics,172,3.83,13.4,62.8,14.0,5.2,2.9,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.6
23,ABE 501: Graduate Research I,22,3.91,0.0,90.9,0.0,0.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,ACCY 200: Fundamentals of Accounting,3631,3.52,22.5,30.8,12.2,10.4,9.4,5.1,3.8,2.5,1.2,0.7,0.6,0.2,0.6
25,ACCY 201: Accounting and Accountancy I,3482,3.07,20.5,18.4,10.6,8.4,9.1,6.5,4.7,6.5,4.9,2.4,2.7,2.9,2.6
26,ACCY 202: Accounting and Accountancy II,2783,3.26,12.9,23.0,7.8,14.0,19.4,6.4,5.8,4.9,3.7,0.0,1.5,0.0,0.4
27,ACCY 301: Atg Measurement & Disclosure,1303,3.3,13.6,21.3,15.9,14.4,12.7,7.6,5.3,3.6,2.8,1.0,1.0,0.2,0.8
28,ACCY 302: Decision Making for Atg,1376,3.42,11.9,24.9,20.3,15.0,11.3,7.2,4.6,1.7,1.2,0.7,0.5,0.2,0.5
29,ACCY 303: Accounting Institutions and Regulation,1385,3.33,16.8,28.9,11.8,10.5,9.6,6.7,3.8,4.0,2.6,1.4,1.3,1.4,1.2
30,ACCY 304: Accounting Control Systems,1392,3.38,6.8,29.6,15.4,13.1,20.3,5.3,2.8,3.9,1.1,0.2,0.4,0.1,0.7
31,ACCY 312: Principles of Taxation,1204,3.34,10.8,22.5,12.9,16.0,17.9,11.5,3.0,4.1,0.2,0.2,0.2,0.0,0.8
32,ACCY 398: Practical Problems in Atg,1078,3.89,1.4,93.2,0.0,0.0,1.6,0.0,0.0,2.8,0.0,0.0,0.0,0.0,1.0
33,ACCY 405: Assurance and Attestation,1309,3.42,2.0,30.8,20.7,16.9,15.3,6.3,3.8,2.1,1.1,0.3,0.5,0.0,0.2
34,ACCY 410: Advanced Financial Reporting,1200,3.31,10.1,23.9,16.6,11.9,15.7,9.6,3.8,4.1,1.7,0.3,1.5,0.2,0.5
35,ACCY 449: Tax in Action - VITA,52,3.94,0.0,94.2,0.0,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,ACCY 451: Advanced Income Tax Problems,840,3.38,7.5,38.3,8.5,8.9,19.9,2.6,1.7,9.2,2.4,0.2,0.5,0.0,0.4
37,"ACCY 500: Accounting Measurement, Reporting, and Control",11144,3.84,54.9,23.3,10.1,5.6,3.7,1.2,0.5,0.1,0.1,0.0,0.0,0.0,0.4
38,ACCY 501: Accounting Analysis I,120,3.58,27.5,28.3,20.0,8.3,8.3,1.7,1.7,0.0,0.0,0.0,0.0,0.0,4.2
39,ACCY 501: Accounting Analysis I A,1325,3.43,14.6,30.1,18.8,12.8,9.7,4.2,2.4,2.1,0.8,0.4,0.3,0.3,3.4
40,ACCY 502: Accounting Analysis II,459,3.58,15.3,39.7,14.2,8.5,10.9,3.7,2.8,2.4,1.7,0.4,0.4,0.0,0.0
41,ACCY 502: Accounting Analysis II A,1219,3.44,12.0,29.0,16.6,13.3,11.9,7.3,3.2,4.5,1.6,0.0,0.0,0.0,0.6
42,ACCY 503: Managerial Accounting,18876,3.66,34.7,30.0,12.0,8.8,6.6,3.1,1.2,1.1,0.4,0.1,0.1,0.1,2.0
43,ACCY 503: Managerial Accounting A,902,3.51,10.4,28.9,20.8,19.1,14.6,2.0,1.0,1.0,0.2,0.0,0.1,0.0,1.8
44,ACCY 504: Auditing,417,3.67,1.0,47.2,23.3,16.5,6.7,3.1,1.4,0.7,0.0,0.0,0.0,0.0,0.0
45,ACCY 504: Auditing A,1377,3.46,5.5,27.4,18.9,12.0,31.4,3.3,0.6,0.1,0.0,0.0,0.2,0.0,0.6
46,ACCY 505: Federal Taxation,588,3.58,18.4,31.5,11.6,14.8,14.6,6.3,1.5,0.5,0.5,0.2,0.2,0.0,0.0
47,ACCY 505: Federal Taxation A,638,3.6,16.6,37.0,16.3,13.5,7.5,4.4,1.7,1.3,0.0,0.0,0.0,0.0,1.7
48,ACCY 506: Advanced Financial Reporting,209,3.42,14.8,33.0,11.5,9.6,8.1,12.0,4.8,2.4,1.9,0.0,1.4,0.0,0.5
49,ACCY 506: Advanced Topics in Accounting,142,3.64,14.8,27.5,19.7,28.9,6.3,1.4,1.4,0.0,0.0,0.0,0.0,0.0,0.0
50,ACCY 507: Taxation of Bus Entities A,494,3.61,19.6,32.8,18.0,11.7,8.9,3.2,2.0,2.0,0.6,0.4,0.4,0.0,0.2
51,ACCY 510: Financial Reporting Standards,729,3.57,9.2,38.3,10.6,14.7,21.8,4.1,0.8,0.4,0.0,0.0,0.0,0.0,0.1
52,ACCY 512: Data Analytics for Management Accounting,470,3.74,6.0,58.3,18.3,6.2,6.0,2.1,0.6,1.5,0.6,0.0,0.0,0.0,0.4
53,ACCY 515: Auditing & Assurance Standards,374,3.42,0.8,25.9,19.3,27.0,17.6,6.1,1.3,0.5,0.5,0.0,0.3,0.3,0.3
54,ACCY 517: Financial Statement Analysis,138,3.83,12.3,51.4,29.0,2.9,2.9,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0
55,ACCY 517: Financial Statement Analysis and Valuation,489,3.78,10.8,48.9,26.2,6.7,4.9,1.4,0.0,0.8,0.2,0.0,0.0,0.0,0.0
56,ACCY 518: Financial Statement Fraud,146,3.96,84.9,8.9,2.1,3.4,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,ACCY 519: Governmental and Nonprofit Accounting,21,3.43,28.6,14.3,14.3,9.5,4.8,19.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0
58,ACCY 531: Financial Statement Analysis for MBAs,674,3.87,3.0,77.9,11.1,3.6,3.0,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.9
59,ACCY 532: Accounting for Mergers & Acquisitions and Other Complex Transactions,604,3.93,83.4,11.1,2.6,0.8,0.7,0.0,0.0,0.0,0.2,0.2,0.0,0.0,1.0
60,ACCY 550: Multistate Taxation,24,3.58,12.5,29.2,20.8,16.7,16.7,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0
61,ACCY 551: Corporate Income Taxation,144,3.46,1.4,18.8,22.9,35.4,17.4,3.5,0.7,0.0,0.0,0.0,0.0,0.0,0.0
62,ACCY 552: Partnership Income Taxation,133,3.58,1.5,36.1,23.3,17.3,20.3,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0
63,ACCY 554: International Taxation,22,3.53,9.1,36.4,13.6,18.2,9.1,4.5,9.1,0.0,0.0,0.0,0.0,0.0,0.0
64,ACCY 556: Tax Research,201,3.59,0.0,65.7,0.0,0.0,28.4,0.0,0.0,5.5,0.0,0.0,0.5,0.0,0.0
65,ACCY 569: Data Driven Decisions in Accounting,396,3.64,44.4,30.3,8.6,3.3,4.5,0.8,1.5,1.3,0.3,0.0,0.8,0.0,4.3
66,ACCY 570: Data Analytics Foundations for Accountancy,2152,3.85,18.7,53.3,17.0,6.4,3.3,0.7,0.0,0.3,0.0,0.0,0.2,0.0,0.0
67,ACCY 571: Statistical Analyses for Accountancy,112,3.79,11.6,59.8,13.4,4.5,8.0,0.9,0.0,0.9,0.0,0.9,0.0,0.0,0.0
68,ACCY 574: Risk Management and Innovation,423,3.9,0.7,89.1,3.3,1.7,2.6,0.5,0.5,0.7,0.5,0.0,0.0,0.2,0.2
69,ACCY 575: Data Analytics Applications in Accountancy,846,3.79,20.4,43.9,21.7,8.0,3.5,0.9,0.5,0.1,0.4,0.1,0.0,0.2,0.1
70,ACCY 576: Data Preparation for Accounting,299,3.76,47.8,30.1,8.0,5.4,3.7,0.7,0.3,1.7,0.0,0.0,0.0,0.0,2.3
71,ACCY 577: Machine Learning for Accounting,258,3.73,18.2,39.5,25.2,8.1,5.8,1.2,0.8,0.0,0.0,0.0,0.0,0.0,1.2
72,ACCY 578: ACCY Analytics Appl - A,147,3.71,27.9,36.7,22.4,4.1,2.7,2.0,0.7,0.7,0.0,0.0,0.0,0.0,2.7
73,ACCY 578: ACCY Analytics Appl - B,90,3.89,81.1,10.0,1.1,2.2,1.1,1.1,2.2,0.0,1.1,0.0,0.0,0.0,0.0
74,ACCY 593: Disruption & Emerging Tech,120,3.96,51.7,41.7,3.3,0.8,1.7,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,ACCY 593: Financial Statement Analysis,102,3.79,1.0,69.6,12.7,7.8,3.9,2.9,2.0,0.0,0.0,0.0,0.0,0.0,0.0
76,ACE 100: Introduction to Applied Microeconomics,1458,3.19,14.7,19.7,16.3,9.9,11.6,7.0,6.4,5.6,2.9,1.6,1.6,1.0,1.6
77,ACE 161: Microcomputer Applications,1163,3.39,0.0,60.9,0.0,0.0,24.8,0.0,0.0,9.8,0.0,0.0,1.7,0.0,2.8
78,ACE 199: AI in Wealth Mgmt & Fin Planng,52,3.85,94.2,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,1.9,0.0,1.9
79,ACE 199: Applied Statistics Lab,43,3.89,86.0,2.3,4.7,2.3,0.0,2.3,0.0,2.3,0.0,0.0,0.0,0.0,0.0
80,ACE 199: Digital Mktg and Social Media,172,3.52,0.0,63.4,0.0,0.0,27.9,0.0,0.0,6.4,0.0,0.0,2.3,0.0,0.0
81,ACE 199: Introduction to Sales,83,3.91,47.0,43.4,4.8,0.0,3.6,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0
82,ACE 199: Negotiation,1102,3.74,58.2,23.3,4.8,4.4,2.3,1.2,1.3,1.1,0.3,0.0,0.4,0.2,2.6
83,ACE 199: Undergraduate Open Seminar,372,3.8,69.4,12.9,5.4,3.8,2.7,0.5,1.1,1.6,0.5,1.6,0.0,0.0,0.5
84,"ACE 199: Women, Money and Power",196,3.56,41.8,33.7,0.0,0.0,15.3,0.0,0.0,2.0,0.0,0.0,4.1,0.0,3.1
85,ACE 203: Introduction to Public Policy and Law,115,3.65,10.4,31.3,30.4,16.5,7.0,2.6,0.0,0.9,0.9,0.0,0.0,0.0,0.0
86,ACE 210: Environmental Economics,849,3.11,12.4,18.8,15.0,9.3,14.3,8.0,4.8,7.5,3.5,1.2,1.5,1.2,2.5
87,ACE 220: Introduction to Sales: Principles and Strategies,79,3.58,6.3,35.4,24.1,12.7,12.7,6.3,2.5,0.0,0.0,0.0,0.0,0.0,0.0
88,ACE 221: Negotiation,260,3.82,67.7,15.4,4.6,3.1,3.5,1.2,2.7,1.2,0.0,0.0,0.4,0.0,0.4
89,ACE 222: Agricultural Marketing,552,3.4,22.8,28.1,13.4,9.1,7.2,6.0,3.8,2.7,1.4,0.7,1.4,0.9,2.4
90,ACE 231: Food and Agribusiness Mgt,455,3.32,15.6,22.9,18.0,11.9,11.4,6.4,3.5,3.7,1.5,0.7,1.3,0.7,2.4
91,ACE 232: Farm Management,273,3.1,15.0,16.5,14.3,7.3,13.9,9.9,11.4,1.8,1.1,2.6,2.9,1.1,2.2
92,ACE 240: Personal Financial Planning,7160,3.63,54.2,23.9,2.1,1.3,8.6,0.7,0.6,3.7,0.3,0.2,1.3,0.1,2.9
93,ACE 243: Money and Happiness,60,3.58,0.0,50.0,23.3,6.7,10.0,3.3,3.3,0.0,0.0,0.0,3.3,0.0,0.0
94,ACE 251: The World Food Economy,1598,3.45,9.2,34.5,19.3,12.3,10.3,4.5,3.3,1.9,1.3,0.6,0.9,0.3,1.8
95,ACE 254: Economic Systems in Africa,103,3.36,2.9,24.3,23.3,18.4,18.4,5.8,1.0,0.0,1.0,1.9,1.9,1.0,0.0
96,ACE 255: Econ of Food and Envir Justice,275,3.83,61.8,19.6,8.0,3.3,1.8,2.9,0.4,1.1,0.4,0.0,0.0,0.7,0.0
97,ACE 255: Economics of Food and Environmental Justice,525,3.76,54.5,21.0,10.7,4.6,2.9,2.3,1.0,0.4,0.8,0.6,0.6,0.0,1.0
98,ACE 261: Applied Statistical Methods,23,3.19,13.0,26.1,8.7,4.3,13.0,8.7,8.7,13.0,4.3,0.0,0.0,0.0,0.0
99,ACE 262: Applied Statistical Methods and Data Analytics I,765,3.05,9.4,19.3,15.2,8.9,16.1,7.7,4.6,6.4,3.8,2.7,2.4,0.8,2.7
100,ACE 264: Applied Statistical Methods & Data Analytics 2,776,3.14,11.7,17.3,15.3,12.0,13.3,8.9,7.2,5.9,3.7,0.9,1.5,0.4,1.8
101,ACE 270: Consumer Economics,414,3.3,11.8,22.5,18.4,11.8,15.9,6.5,3.1,3.9,1.7,1.0,1.2,0.2,1.9
102,ACE 300: Intermediate Applied Microeconomics,915,3.12,13.3,22.0,9.5,9.0,16.3,6.9,5.0,8.5,2.8,1.7,2.5,1.2,1.2
103,ACE 306: Food Law,212,3.16,6.6,25.5,16.0,8.0,17.0,7.1,4.2,6.1,3.3,1.9,1.4,0.9,1.9
104,ACE 310: Natural Resource Economics,319,3.31,16.3,26.3,11.6,11.0,13.2,7.8,3.1,4.4,0.9,1.3,1.9,0.3,1.9
105,ACE 335: Food Marketing and Behavior,218,3.62,23.4,30.3,17.9,10.1,11.0,3.2,0.5,1.4,1.8,0.0,0.0,0.0,0.5
106,ACE 341: Contemp Issue Comm Fin Plng,540,3.7,48.0,30.9,1.9,1.9,9.6,0.4,0.4,4.1,0.7,0.0,1.5,0.0,0.7
107,ACE 341: Contemporary Issues in Policy,109,3.77,45.9,33.0,5.5,4.6,5.5,2.8,0.9,0.0,0.0,0.0,0.0,0.0,1.8
108,ACE 341: Issues in AgAccy and FinAg,172,3.82,34.3,50.6,4.1,0.6,5.2,0.0,1.2,2.9,0.6,0.0,0.6,0.0,0.0
109,ACE 341: Issues in Agribus Mkts & Mgmt,157,3.64,40.1,31.8,6.4,3.2,7.6,3.2,0.6,3.8,0.0,0.0,1.9,0.0,1.3
110,ACE 341: Issues in Cons Econ & Finance,272,3.78,47.8,29.8,7.4,2.9,7.7,0.7,0.4,1.1,0.4,0.4,1.1,0.4,0.0
111,ACE 341: Issues&Careers in Applied Econ,35,3.28,14.3,42.9,2.9,2.9,17.1,2.9,0.0,8.6,0.0,0.0,2.9,0.0,5.7
112,ACE 344: FinTech in Personal Finance and Financial Planning,82,3.79,26.8,52.4,3.7,4.9,7.3,1.2,1.2,0.0,2.4,0.0,0.0,0.0,0.0
113,ACE 345: Finan Decision Indiv Sm Bus,543,3.42,7.2,38.9,13.1,13.1,9.2,6.6,2.8,3.9,2.2,1.1,1.1,0.4,0.6
114,ACE 346: Tax Policy and Finan Planning,361,3.54,31.6,24.4,11.1,10.2,7.5,6.1,2.8,2.2,2.2,0.6,0.8,0.3,0.3
115,ACE 349: Risk Management and Financial Planning Across the Life Cycle,35,3.29,0.0,8.6,34.3,22.9,17.1,8.6,2.9,5.7,0.0,0.0,0.0,0.0,0.0
116,ACE 360: Spreadsheet Models and Applications,344,3.54,5.2,62.8,5.2,2.9,11.0,2.3,0.9,4.1,1.5,0.0,0.6,0.6,2.9
117,ACE 398: Financial Planning Technologie,50,3.84,6.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
118,ACE 398: Financial Planning Technology,38,3.95,13.2,81.6,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,"ACE 398: Rec, Sprt, & Tour Econ Croatia",21,3.87,42.9,38.1,9.5,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,ACE 398: Risk Mngmt in Personal Fin Pla,98,2.79,4.1,13.3,16.3,13.3,16.3,8.2,7.1,5.1,3.1,2.0,0.0,0.0,11.2
121,ACE 403: Agricultural Law,76,3.65,19.7,25.0,30.3,15.8,1.3,6.6,0.0,0.0,0.0,0.0,1.3,0.0,0.0
122,ACE 406: Environmental Law,230,3.14,3.5,28.3,12.6,8.7,21.3,7.8,2.6,7.4,1.3,0.9,2.6,0.9,2.2
123,ACE 410: Energy Economics,58,3.43,20.7,24.1,13.8,12.1,8.6,10.3,6.9,1.7,0.0,0.0,0.0,0.0,1.7
124,ACE 411: Environment and Development,154,3.43,16.2,28.6,14.9,11.0,13.0,5.8,5.2,0.6,1.9,0.0,0.6,0.0,1.9
125,ACE 427: Commodity Price Analysis,641,3.17,8.0,16.8,15.4,15.1,13.3,13.1,7.6,5.6,2.5,1.6,0.5,0.3,0.2
126,ACE 428: Commodity Futures and Options,282,3.04,14.5,16.0,12.4,9.2,11.3,9.9,8.9,7.1,2.8,2.1,2.1,1.1,2.5
127,ACE 430: Food Marketing,164,2.93,6.1,17.1,10.4,14.0,16.5,4.9,8.5,9.8,3.0,0.0,8.5,0.0,1.2
128,ACE 431: Agri-food Strategic Management,113,3.3,4.4,28.3,14.2,16.8,12.4,9.7,5.3,6.2,0.9,0.9,0.9,0.0,0.0
129,ACE 432: Advanced Farm Management,23,3.52,43.5,17.4,13.0,4.3,4.3,4.3,4.3,4.3,0.0,0.0,0.0,4.3,0.0
130,ACE 435: Global Agribusiness Management,762,3.63,35.2,28.7,11.9,6.7,9.1,1.4,1.4,2.5,0.4,0.3,1.0,0.0,1.3
131,ACE 440: Finan Plan for Professionals,226,3.59,8.4,46.9,14.6,4.4,19.9,1.8,0.4,0.9,1.3,0.0,0.4,0.0,0.9
132,ACE 444: Financial Services & Investing Planning,772,3.16,15.2,23.2,8.5,8.3,21.6,3.2,3.6,6.9,1.6,0.3,4.9,0.3,2.5
133,ACE 445: Intermediate Financial and Estate Planning,672,3.56,36.3,34.5,0.0,0.0,19.6,0.0,0.3,6.2,0.0,0.0,0.6,0.0,2.4
134,ACE 446: Modeling App's Finan Plan,167,3.17,12.6,31.7,1.2,9.6,22.8,0.0,4.8,8.4,2.4,1.2,1.2,0.6,3.6
135,ACE 449: Retirement & Benefit Planning,300,3.33,8.7,20.3,19.7,18.3,16.3,6.7,3.3,2.7,2.0,0.0,0.7,0.3,1.0
136,ACE 451: Agriculture in Intl Dev,151,3.3,13.2,19.2,9.3,27.8,9.9,5.3,5.3,7.3,0.7,0.0,1.3,0.0,0.7
137,ACE 455: International Trade in Food and Agriculture,188,3.26,8.5,20.2,20.2,11.2,17.6,4.8,6.9,6.4,1.6,0.5,1.6,0.0,0.5
138,ACE 456: Agr and Food Policies,30,2.66,0.0,26.7,0.0,10.0,16.7,0.0,6.7,23.3,0.0,0.0,13.3,0.0,3.3
139,ACE 456: Agricultural and Food Policies,33,3.4,6.1,42.4,0.0,12.1,33.3,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0
140,ACE 474: Economics of Consumption,294,3.03,10.5,17.0,9.5,10.2,14.6,12.9,7.8,8.2,3.4,2.7,1.0,0.7,1.4
141,ACE 476: Behavioral Economics and Financial Decision Making,318,3.07,1.3,21.1,16.0,14.2,15.1,8.8,9.1,6.3,3.1,1.9,0.9,0.3,1.9
142,ACE 544: Global Agriculture and Supply Chains,50,3.96,0.0,96.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,ACE 545: Risk and Decision-Making in Agriculture,54,3.95,0.0,92.6,0.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,ACE 592: Data Science for Applied Econo,52,3.33,5.8,19.2,23.1,17.3,21.2,5.8,0.0,5.8,0.0,0.0,0.0,0.0,1.9
145,ACES 101: Contemporary Issues in ACES,840,3.73,47.1,31.1,6.8,4.8,1.7,1.5,2.4,0.7,0.8,0.8,1.0,0.5,0.8
146,ACES 102: Intro Sustainable Food Systems,234,3.56,20.5,43.2,14.5,2.1,7.3,1.3,2.1,3.8,1.7,0.0,0.0,0.9,2.6
147,ACES 179: History of Ag in IL Since 1860,307,3.42,10.1,35.8,19.5,10.1,11.4,1.6,2.3,2.0,2.0,0.3,0.7,1.0,3.3
148,ACES 199: Undergraduate Open Seminar,35,3.51,54.3,5.7,0.0,0.0,34.3,0.0,0.0,2.9,0.0,0.0,2.9,0.0,0.0
149,ACES 298: International Experience,21,3.9,85.7,9.5,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0
150,ADV 150: Introduction to Advertising,3629,3.79,54.8,32.8,1.5,1.4,4.3,0.3,0.4,1.6,0.1,0.1,0.5,0.1,2.3
151,ADV 175: Diversity in Advertising,533,3.51,0.2,41.1,22.1,15.8,9.8,4.9,2.1,2.1,0.4,0.4,0.0,0.4,0.9
152,ADV 175: Introduction to Multicultural Advertising,175,3.67,0.0,50.3,26.3,10.9,5.1,2.9,3.4,1.1,0.0,0.0,0.0,0.0,0.0
153,ADV 200: Data Literacy,239,3.27,7.1,23.8,14.2,18.8,7.1,12.6,7.1,6.3,1.3,0.0,1.7,0.0,0.0
154,ADV 201: Social Media and Personal Branding,421,3.7,26.6,39.9,13.8,4.5,8.8,2.1,1.0,1.2,0.5,0.2,0.5,0.2,0.7
155,ADV 250: Advertising and Brand Strategy,462,3.81,6.1,72.5,9.1,1.9,5.6,1.3,1.1,0.9,0.4,0.6,0.2,0.2,0.0
156,ADV 270: Principles of Sales,503,3.34,38.2,15.1,9.9,9.3,6.2,4.0,3.6,3.4,2.6,2.0,1.4,0.8,3.6
157,ADV 281: Advertising Research Methods,1580,3.0,11.1,15.4,11.6,8.2,18.5,9.7,6.5,6.6,4.9,2.0,2.2,1.3,1.9
158,ADV 283: Advertising and Brand Strategy,668,3.73,6.3,60.6,15.7,5.7,5.7,2.8,0.3,1.3,0.1,0.0,0.1,0.4,0.7
159,ADV 284: Consumer Insight,1482,3.53,7.9,34.3,24.9,12.3,8.1,6.5,1.3,1.7,1.4,0.4,0.4,0.3,0.4
160,ADV 290: AI and Advertising,25,3.83,72.0,16.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
161,ADV 290: Adventures in Creative,69,3.79,0.0,79.7,7.2,0.0,4.3,4.3,1.4,1.4,1.4,0.0,0.0,0.0,0.0
162,ADV 290: Becoming an Influencer,81,3.59,25.9,46.9,4.9,1.2,9.9,1.2,1.2,2.5,0.0,2.5,1.2,0.0,2.5
163,ADV 290: Social Media & Personal Brand,301,3.44,3.7,33.9,16.6,14.3,17.3,6.0,5.6,0.7,1.7,0.0,0.0,0.3,0.0
164,ADV 290: Social Media for Social Justce,23,3.01,8.7,30.4,0.0,4.3,30.4,0.0,4.3,8.7,4.3,0.0,4.3,0.0,4.3
165,ADV 290: Sports PR,30,3.94,0.0,86.7,10.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,ADV 290: Sports Public Relations,24,3.19,29.2,16.7,8.3,8.3,12.5,0.0,4.2,8.3,8.3,0.0,0.0,0.0,4.2
167,ADV 301: Becoming an Influencer,325,3.64,26.8,44.3,6.2,3.1,10.8,1.8,0.0,3.1,0.3,0.6,1.5,0.3,1.2
168,ADV 305: Advertising Technology and the Digital World,220,3.84,60.0,20.0,4.5,7.7,4.5,2.3,0.0,0.9,0.0,0.0,0.0,0.0,0.0
169,"ADV 305: Digital Advertising Content, Technologies and Concepts",208,3.75,33.2,38.5,11.5,6.7,4.8,2.4,0.0,0.5,0.5,0.5,0.0,0.0,1.4
170,ADV 310: Intro to Public Relations,806,3.49,8.6,41.3,15.3,7.3,14.6,3.5,2.7,3.3,1.2,0.5,0.4,0.1,1.1
171,ADV 311: Classic Campaigns,82,3.15,0.0,24.4,19.5,11.0,18.3,11.0,6.1,2.4,1.2,1.2,2.4,0.0,2.4
172,ADV 314: Sports Public Relations,198,3.57,49.0,17.7,8.6,4.5,6.1,4.0,1.5,3.0,1.0,2.0,0.0,0.5,2.0
173,ADV 320: Sales Management,689,3.49,43.5,18.0,9.3,8.6,5.7,2.6,2.8,2.3,1.6,1.3,0.4,1.0,2.9
174,ADV 350: Writing for Public Relations,185,3.79,26.5,54.6,5.4,4.3,3.2,0.5,1.1,0.5,1.6,1.1,1.1,0.0,0.0
175,ADV 360: Innovations in Advertising,684,3.44,0.0,39.8,24.6,8.2,11.7,4.4,3.2,3.8,2.0,0.0,2.3,0.0,0.0
176,ADV 370: Sales and the Consumer,846,3.31,46.0,11.8,8.4,7.2,4.8,4.0,4.6,2.1,0.7,1.8,0.8,1.1,6.6
177,ADV 390: Content Creation,878,3.32,0.0,31.3,15.7,13.0,17.4,11.2,6.0,3.6,0.7,0.3,0.2,0.2,0.2
