,course,num_students,avg_gpa,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F
204,PHYS 487: Quantum Physics II,352,3.19,13.6,20.7,13.9,13.4,10.5,4.8,8.5,6.5,2.8,2.0,0.9,0.6,1.7
205,CEE 491: Decision and Risk Analysis,43,3.19,4.7,46.5,11.6,4.7,4.7,7.0,0.0,11.6,0.0,0.0,0.0,0.0,9.3
206,CHBE 453: Electrochemical Engineering,105,3.18,5.7,25.7,8.6,15.2,11.4,14.3,6.7,7.6,2.9,0.0,1.9,0.0,0.0
207,MATH 446: Applied Complex Variables,28,3.18,0.0,39.3,10.7,3.6,21.4,3.6,3.6,10.7,3.6,0.0,0.0,0.0,3.6
208,PHYS 486: Quantum Physics I,446,3.17,12.3,21.1,13.0,13.0,12.1,9.2,3.8,6.3,3.8,2.2,0.7,0.7,1.8
209,PHYS 326: Classical Mechanics II,382,3.17,5.2,17.0,21.2,16.8,13.4,8.9,5.2,4.7,2.6,2.9,0.8,0.5,0.8
210,ECE 333: Green Electric Energy,601,3.15,7.5,12.8,22.0,16.8,12.8,12.0,5.7,3.5,1.8,1.7,1.0,1.0,1.5
211,TAM 335: Introductory Fluid Mechanics,762,3.15,7.7,18.9,19.9,12.7,10.9,9.2,7.0,5.5,2.0,1.7,2.0,1.3,1.2
212,AE 312: Compressible Flow,527,3.14,8.0,26.4,12.9,9.7,13.7,8.9,5.7,4.7,2.5,1.5,2.7,0.9,2.5
213,CS 425: Distributed Systems,821,3.14,6.7,14.7,19.2,15.7,15.7,10.6,6.7,3.5,2.3,1.7,0.6,0.5,1.9
214,PHYS 401: Classical Physics Lab,147,3.14,6.8,17.7,27.9,11.6,13.6,5.4,0.7,4.1,2.0,2.7,2.0,2.0,3.4
215,SE 424: State Space Design for Control,305,3.14,5.9,20.0,10.5,13.1,19.7,14.4,5.6,6.2,2.6,0.3,0.3,0.3,1.0
216,CEE 310: Transportation Engineering,286,3.13,4.9,21.3,12.9,10.5,21.7,10.5,4.9,7.3,2.1,1.0,1.0,0.3,1.4
217,MATH 412: Graph Theory,385,3.12,18.4,16.9,14.8,11.4,9.1,6.0,3.9,5.2,5.7,2.1,2.1,2.3,2.1
218,ASTR 414: Astronomical Techniques,148,3.12,15.5,33.8,2.7,5.4,16.2,4.1,0.7,6.8,2.0,0.7,4.7,5.4,2.0
219,AE 353: Aerospace Control Systems,513,3.11,9.4,24.4,12.5,10.9,16.8,8.4,2.1,4.3,1.9,0.6,2.9,1.6,4.3
220,CHBE 440: Process Control and Dynamics,448,3.11,6.5,23.4,14.7,11.6,11.4,7.4,7.1,7.4,4.7,1.1,3.3,0.7,0.7
221,ASTR 210: Introduction to Astrophysics,375,3.1,9.6,44.3,1.1,1.1,20.0,0.3,0.5,10.4,0.3,0.0,2.9,1.1,8.5
222,ECE 464: Power Electronics,269,3.09,15.6,17.1,12.3,10.4,10.8,8.9,8.2,5.9,2.6,2.6,3.3,0.7,1.5
223,NPRE 247: Modeling Nuclear Energy System,78,3.09,11.5,21.8,10.3,12.8,12.8,7.7,7.7,2.6,2.6,5.1,1.3,1.3,2.6
224,ECE 330: Power Ckts & Electromechanics,330,3.09,7.0,20.6,16.1,10.0,13.0,10.6,7.6,4.5,2.7,3.6,1.2,2.1,0.9
225,AE 434: Rocket Propulsion,103,3.08,0.0,20.4,12.6,26.2,12.6,8.7,3.9,5.8,5.8,0.0,1.0,0.0,2.9
226,ASTR 405: Planetary Systems,220,3.07,7.3,27.3,15.9,10.9,10.0,2.3,5.0,6.4,5.5,1.4,2.3,1.4,4.5
227,NPRE 330: Materials in Nuclear Engineering,69,3.07,2.9,18.8,15.9,24.6,5.8,5.8,13.0,5.8,1.4,0.0,1.4,1.4,2.9
228,ECE 498: IoT and Cognitive Computing,38,3.07,7.9,21.1,23.7,7.9,10.5,2.6,5.3,5.3,5.3,2.6,2.6,2.6,2.6
229,CHBE 321: Thermodynamics,515,3.07,5.0,18.6,11.8,13.0,17.7,13.4,7.4,5.6,2.5,1.4,1.6,1.4,0.6
230,PHYS 485: Atomic Phys & Quantum Theory,150,3.07,18.0,16.0,10.7,8.0,12.0,10.0,6.7,6.7,4.7,2.0,2.7,0.7,2.0
231,ATMS 304: Radiative Transfer-Remote Sens,27,3.05,11.1,22.2,14.8,11.1,11.1,0.0,7.4,7.4,3.7,0.0,3.7,7.4,0.0
232,IB 204: Genetics,240,3.05,0.4,21.7,11.7,9.2,29.6,5.8,5.4,7.9,5.4,0.0,0.8,0.8,1.2
233,IB 426: Env and Evol Physl of Animals,23,3.04,8.7,13.0,0.0,8.7,39.1,13.0,8.7,4.3,4.3,0.0,0.0,0.0,0.0
234,CS 498: Data Science & Analytics,31,3.03,3.2,22.6,12.9,12.9,9.7,9.7,12.9,6.5,3.2,0.0,6.5,0.0,0.0
235,TAM 211: Statics,1403,3.03,6.6,19.5,13.2,12.3,15.1,8.3,7.0,7.7,3.1,2.0,1.9,0.8,2.6
